Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-24 00:00:00-05:00,9.839541338628896,9.852919037250853,9.74255031248438,9.846230506896973,314200,0.0,0.0
2001-12-26 00:00:00-05:00,9.842883040446914,10.130510812605472,9.842883040446914,10.073654174804688,1941600,0.0,0.0
2001-12-27 00:00:00-05:00,10.083684938712244,10.117130124558019,9.956593997994936,10.013450622558594,620400,0.0,0.0
2001-12-28 00:00:00-05:00,9.946561839197111,10.066964272302977,9.946561839197111,9.99004077911377,768000,0.0,0.0
2001-12-31 00:00:00-05:00,9.969979506340373,9.969979506340373,9.65559617148041,9.672318458557129,993800,0.0,0.0
2002-01-02 00:00:00-05:00,9.749235609171029,9.749235609171029,9.451574756503803,9.625489234924316,789200,0.0,0.0
2002-01-03 00:00:00-05:00,9.575318330399556,9.732510486733112,9.575318330399556,9.62214183807373,807000,0.0,0.0
2002-01-04 00:00:00-05:00,9.592044859707217,9.909772598289326,9.592044859707217,9.816126823425293,1010600,0.0,0.0
2002-01-07 00:00:00-05:00,9.80274848224099,9.983352141454473,9.73251415115619,9.929840087890625,933200,0.0,0.0
2002-01-08 00:00:00-05:00,9.933186141877123,10.076999408429486,9.886362609639662,10.050243377685547,962600,0.0,0.0
2002-01-09 00:00:00-05:00,10.053585917123781,10.083686525329773,9.765958804586708,9.83284854888916,942400,0.0,0.0
2002-01-10 00:00:00-05:00,9.765960235267546,9.953252439831648,9.69906984325191,9.933185577392578,338000,0.0,0.0
2002-01-11 00:00:00-05:00,9.956596363737837,9.956596363737837,9.732514394616045,9.79940414428711,456400,0.0,0.0
2002-01-14 00:00:00-05:00,9.799404372419385,9.816127288661974,9.525154925181203,9.535188674926758,478800,0.0,0.0
2002-01-15 00:00:00-05:00,9.528501017613566,9.755927611221807,9.495055817745154,9.585357666015625,323000,0.0,0.0
2002-01-16 00:00:00-05:00,9.59873291978972,9.59873291978972,9.44822988765269,9.555253982543945,369600,0.0,0.0
2002-01-17 00:00:00-05:00,9.548564508271237,9.943216323852539,9.548564508271237,9.943216323852539,747600,0.0,0.0
2002-01-18 00:00:00-05:00,9.822814823570889,9.939872028255449,9.782680469169096,9.899738311767578,478800,0.0,0.0
2002-01-22 00:00:00-05:00,9.84957265040971,9.966629876524504,9.78268226013208,9.906429290771484,619600,0.0,0.0
2002-01-23 00:00:00-05:00,9.916461840197181,10.087031751605808,9.852916036829887,10.036864280700684,742000,0.0,0.0
2002-01-24 00:00:00-05:00,10.063619916075382,10.327835592780964,10.063619916075382,10.20074462890625,1004400,0.0,0.0
2002-01-25 00:00:00-05:00,10.200743064489133,10.284355712558716,10.133852690867915,10.267633438110352,537200,0.0,0.0
2002-01-28 00:00:00-05:00,10.28101510976012,10.4014175737193,10.190713261790734,10.367972373962402,651400,0.0,0.0
2002-01-29 00:00:00-05:00,10.36797125816927,10.374660424983592,10.117133243858722,10.334526062011719,569400,0.0,0.0
2002-01-30 00:00:00-05:00,10.301081617576736,10.665632942677695,10.220813523689474,10.57198715209961,788800,0.0,0.0
2002-01-31 00:00:00-05:00,10.571986400350172,10.652254488529755,10.294392356178006,10.378005027770996,704800,0.0,0.0
2002-02-01 00:00:00-05:00,10.341217089196835,10.451585809832096,10.304427303013691,10.337872505187988,535000,0.0,0.0
2002-02-04 00:00:00-05:00,10.304425489475225,10.354592964950305,10.050242890765547,10.107099533081055,257000,0.0,0.0
2002-02-05 00:00:00-05:00,10.107099997224372,10.240880788520217,10.06696627016689,10.163956642150879,415400,0.0,0.0
2002-02-06 00:00:00-05:00,10.07365362590891,10.07365362590891,9.33117279180056,9.568633079528809,2958400,0.0,0.0
2002-02-07 00:00:00-05:00,9.615456416217697,9.662279304198972,9.464953364972166,9.582011222839355,688800,0.0,0.0
2002-02-08 00:00:00-05:00,9.585358685669766,9.866297373787006,9.531846615353547,9.846230506896973,693400,0.0,0.0
2002-02-11 00:00:00-05:00,9.812783847756863,9.96663086761443,9.792716983843723,9.859606742858887,383600,0.0,0.0
2002-02-12 00:00:00-05:00,9.822815438096471,9.909772041898265,9.709102171076944,9.83284854888916,529400,0.0,0.0
2002-02-13 00:00:00-05:00,9.80275094937062,9.866296768188477,9.76930574799732,9.866296768188477,156400,0.0,0.0
2002-02-14 00:00:00-05:00,9.832850803866247,9.866296002644475,9.786027908325195,9.786027908325195,206800,0.0,0.0
2002-02-15 00:00:00-05:00,9.782679557800293,9.806090996556161,9.535186202802189,9.782679557800293,340400,0.0,0.0
